alias,true_ent_num,matched_ent_num,matched_name,score,correct,alerted_on_sanctioned
ISLAMIC JIHAD IN PALESTINE,4707,4707,ISLAMIC JIHAD OF PALESTINE,93.87755102040816,True,False
ISLAMIC JIHAD OF PALESTINE,4707,4707,ISLAMIC JIHAD IN PALESTINE,93.87755102040816,True,False
ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,4707,10411,HIZBALLAH MARTYRS FOUNDATION,53.73134328358209,False,True
PIJ-SHALLAH FACTION,4707,4707,PIJ-SHAQAQI FACTION,84.21052631578947,True,False
PALESTINIAN ISLAMIC JIHAD,4707,4707,ISLAMIC JIHAD OF PALESTINE,91.66666666666666,True,False
AL-QUDS SQUADS,4707,4707,SAYARA AL-QUDS,63.63636363636363,True,False
SAYARA AL-QUDS,4707,20620,SARAYAT AL-QUDS,78.26086956521739,False,True
AL-QUDS BRIGADES,4707,13041,KURDISTAN BRIGADES,77.41935483870968,False,True
AL-AWDAH BRIGADES,4707,24723,AL-ASHTAR BRIGADES,75.86206896551724,False,True
PALESTINE LIBERATION FRONT,4708,4709,POPULAR FRONT FOR THE LIBERATION OF PALESTINE,86.66666666666667,False,True
PLF,4708,,,0.0,False,False
PLF-ABU ABBAS,4708,46348,KATA'IB ABU FADL AL-ABBAS,62.857142857142854,False,True
PFLP,4709,4710,PFLP-GC,72.72727272727273,False,True
RED EAGLES,4709,4709,RED EAGLE GANG,75.0,True,False
RED EAGLE GROUP,4709,4709,RED EAGLE GANG,75.86206896551724,True,False
RED EAGLE GANG,4709,4709,RED EAGLE GROUP,75.86206896551724,True,False
HALHUL GANG,4709,4709,HALHUL SQUAD,52.17391304347826,True,False
HALHUL SQUAD,4709,4707,AL-QUDS SQUADS,60.86956521739131,False,True
PALESTINIAN POPULAR RESISTANCE FORCES,4709,12299,THE POPULAR RESISTANCE MOVEMENT OF IRAN,66.66666666666667,False,True
PPRF,4709,,,0.0,False,False
MARTYR ABU-ALI MUSTAFA BATTALION,4709,7200,AL-AQSA MARTYRS BATTALION,74.07407407407408,False,True
PFLP-GC,4710,4709,PFLP,72.72727272727273,False,True
DEVRIMCI HALK KURTULUS PARTISI-CEPHESI,4713,57890,MEHRDAD GERAMIAN NIK AND PARTNERS EXCHANGE,50.0,False,True
DHKP/C,4713,,,0.0,False,False
DEVRIMCI SOL,4713,4713,DEV SOL SILAHLI DEVRIMCI BIRLIKLERI,51.06382978723405,True,False
REVOLUTIONARY LEFT,4713,4714,REVOLUTIONARY NUCLEI,84.21052631578947,False,True
DEV SOL,4713,,,0.0,False,False
DEV SOL SILAHLI DEVRIMCI BIRLIKLERI,4713,4713,DEVRIMCI SOL,51.06382978723405,True,False
DEV SOL SDB,4713,,,0.0,False,False
DEV SOL ARMED REVOLUTIONARY UNITS,4713,10391,IRAN'S REVOLUTIONARY GUARDS,66.66666666666667,False,True
EPANASTATIKOS LAIKOS AGONAS,4714,11496,EPANASTATIKOS AGHONAS,83.33333333333334,False,True
REVOLUTIONARY POPULAR STRUGGLE,4714,4693,POPULAR REVOLUTIONARY STRUGGLE,100.0,True,False
POPULAR REVOLUTIONARY STRUGGLE,4714,4714,REVOLUTIONARY POPULAR STRUGGLE,100.0,True,False
ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY,4714,4697,REVOLUTIONARY JUSTICE ORGANIZATION,65.90909090909092,False,True
REVOLUTIONARY NUCLEI,4714,4713,REVOLUTIONARY LEFT,84.21052631578947,False,True
REVOLUTIONARY CELLS,4714,4714,REVOLUTIONARY NUCLEI,82.05128205128204,True,False
LIBERATION STRUGGLE,4714,10053,STRUGGLE FOR RECONSTRUCTION,71.42857142857143,False,True
SENDERO LUMINOSO,4715,44858,LUMINOR OY,60.86956521739131,False,True
PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI),4715,4715,COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI,64.13043478260869,True,False
PARTIDO COMUNISTA DEL PERU (COMMUNIST PARTY OF PERU),4715,4715,COMMUNIST PARTY OF PERU,63.49206349206349,True,False
SOCORRO POPULAR DEL PERU,4715,4714,REVOLUTIONARY POPULAR STRUGGLE,48.0,False,True
SPP,4715,,,0.0,False,False
EJERCITO GUERRILLERO POPULAR,4715,4715,EJERCITO POPULAR DE LIBERACION,76.36363636363637,True,False
EGP,4715,,,0.0,False,False
EJERCITO POPULAR DE LIBERACION,4715,4706,EJERCITO DE LIBERACION NACIONAL,80.0,False,True
COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI,4715,4715,PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI),64.13043478260869,True,False
COMMUNIST PARTY OF PERU,4715,7234,COMMUNIST PARTY OF THE PHILIPPINES,76.59574468085107,False,True
PEOPLE'S AID OF PERU,4715,17023,LUGANSK PEOPLE'S REPUBLIC,61.904761904761905,False,True
PEOPLE'S GUERRILLA ARMY,4715,7234,NEW PEOPLE'S ARMY,75.0,False,True
PEOPLE'S LIBERATION ARMY,4715,22284,KOREAN PEOPLE'S ARMY,77.27272727272727,False,True
DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE,4717,4708,PALESTINE LIBERATION FRONT,82.53968253968253,False,True
DFLP,4717,,,0.0,False,False
RED STAR FORCES,4717,33951,RAB FORCES,72.0,False,True
RED STAR BATTALIONS,4717,41035,SPARTA BATTALION,74.28571428571429,False,True
ISLAMIC SALVATION FOUNDATION,6366,10408,AL-SALAH ISLAMIC FOUNDATION,88.46153846153845,False,True
THE GROUP FOR THE PRESERVATION OF THE HOLY SITES,6366,6366,ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES,66.66666666666667,True,False
THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES,6366,6366,ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES,89.85507246376811,True,False
THE WORLD ISLAMIC FRONT FOR JIHAD AGAINST JEWS AND CRUSADERS,6366,10742,HARAKAT UL JIHAD ISLAMI BANGLADESH,58.53658536585367,False,True
AL QAEDA,6366,20159,AL-QAEDA IN THE INDIAN SUBCONTINENT,30.303030303030297,False,True
THE BASE,6366,12727,BASEEJ,80.0,False,True
USAMA BIN LADEN NETWORK,6366,6366,USAMA BIN LADEN ORGANIZATION,74.50980392156863,True,False
USAMA BIN LADEN ORGANIZATION,6366,7201,THE AID ORGANIZATION OF THE ULEMA,76.0,False,True
AL QAIDA,6366,8759,AL-QAIDA IN IRAQ,55.55555555555556,False,True
INTERNATIONAL FRONT FOR FIGHTING JEWS AND CRUSADES,6366,24752,GOLDEN STAR INTERNATIONAL FREIGHT LIMITED,66.66666666666667,False,True
ISLAMIC ARMY FOR THE LIBERATION OF HOLY SITES,6366,6366,THE ISLAMIC ARMY FOR THE LIBERATION OF THE HOLY PLACES,89.85507246376811,True,False
AL-JIHAD,6366,6366,NEW JIHAD,71.42857142857143,True,False
EGYPTIAN AL-JIHAD,6366,6366,EGYPTIAN ISLAMIC JIHAD,77.77777777777779,True,False
EGYPTIAN ISLAMIC JIHAD,6366,9334,ISLAMIC JIHAD GROUP,78.04878048780488,False,True
NEW JIHAD,6366,6366,AL-JIHAD,71.42857142857143,True,False
THE JIHAD GROUP,6366,16524,TIVA GROUP,76.19047619047619,False,True
ISLAMIC ARMY,6366,12733,ARMY OF ISLAM,90.9090909090909,False,True
ISLAMIC MOVEMENT OF TALIBAN,6636,6636,TALIBAN ISLAMIC MOVEMENT,100.0,True,False
TAHRIKE ISLAMI'A TALIBAN,6636,6636,TALIBANO ISLAMI TAHRIK,91.30434782608697,True,False
TALEBAN,6636,56539,"TALENT BRIDGE, S.A.",50.0,False,True
TALIBAN ISLAMIC MOVEMENT,6636,6636,ISLAMIC MOVEMENT OF TALIBAN,100.0,True,False
TALIBANO ISLAMI TAHRIK,6636,6636,TAHRIKE ISLAMI'A TALIBAN,91.30434782608697,True,False
INPESCA S.A.,6824,,,0.0,False,False
REAL IRISH REPUBLICAN ARMY,6853,6853,NEW IRISH REPUBLICAN ARMY,90.19607843137256,True,False
32 COUNTY SOVEREIGNTY COMMITTEE,6853,6853,32 COUNTY SOVEREIGNTY MOVEMENT,72.1311475409836,True,False
32 COUNTY SOVEREIGNTY MOVEMENT,6853,6853,32 COUNTY SOVEREIGNTY COMMITTEE,72.1311475409836,True,False
REAL OGLAIGH NA HEIREANN,6853,15869,COMPANIA REAL DE PANAMA S.A.,50.0,False,True
IRISH REPUBLICAN PRISONERS WELFARE ASSOCIATION,6853,55987,VAED ASSOCIATION FOR PRISONERS AND RELEASED PERSONS,71.91011235955057,False,True
IRA ARMY COUNCIL,6853,7916,COUNCIL OF CHARITY AND SOLIDARITY,66.66666666666667,False,True
AUTODEFENSAS UNIDAS DE COLOMBIA,6895,15871,LOS AUTODEFENSAS GAITANISTAS DE COLOMBIA,80.0,False,True
AUC,6895,,,0.0,False,False
GSPC,6897,,,0.0,False,False
LE GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT,6897,6897,SALAFIST GROUP FOR PREACHING AND COMBAT,75.67567567567568,True,False
SALAFIST GROUP FOR PREACHING AND COMBAT,6897,6897,LE GROUPE SALAFISTE POUR LA PREDICATION ET LE COMBAT,75.67567567567568,True,False
AL-QA'IDA IN THE ISLAMIC MAGHREB,6897,6897,TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA,65.625,True,False
AQIM,6897,,,0.0,False,False
TANZIM AL-QA'IDA FI BILAD AL-MAGHRIB AL-ISLAMIYA,6897,8759,TANZIM QA'IDAT AL-JIHAD FI BILAD AL-RAFIDAYN,70.12987012987013,False,True
AIAI,6899,,,0.0,False,False
AL WAFA,6911,6911,AL WAFA ORGANIZATION,38.095238095238095,True,False
AL WAFA ORGANIZATION,6911,11346,WA'ED ORGANIZATION,85.71428571428572,False,True
WAFA AL-IGATHA AL-ISLAMIA,6911,8593,AL-WAKALA AL-ISLAMIYA L'IL-IGHATHA,76.59574468085107,False,True
AL RASHEED TRUST,6912,6912,AL RASHID TRUST,88.0,True,False
AL-RASHID TRUST,6912,7201,AL RASHEED TRUST,88.0,True,False
AL-RASHEED TRUST,6912,6912,AL RASHID TRUST,88.0,True,False
AL AMIN WELFARE TRUST,6912,19682,AR RAHMA WELFARE TRUST,80.0,False,True
AL AMIN TRUST,6912,6912,AL AMEEN TRUST,85.71428571428572,True,False
AL AMEEN TRUST,6912,6912,AL AMIN TRUST,85.71428571428572,True,False
AL-AMEEN TRUST,6912,6912,AL AMIN TRUST,85.71428571428572,True,False
AL MADINA TRUST,6912,6912,MAIMAR TRUST,83.33333333333334,True,False
AL-MADINA TRUST,6912,6912,MAIMAR TRUST,83.33333333333334,True,False
MAYMAR TRUST,6912,6912,MAIMAR TRUST,91.66666666666666,True,False
MAIMAR TRUST,6912,6912,MAYMAR TRUST,91.66666666666666,True,False
MOMAR TRUST,6912,6912,MAYMAR TRUST,86.95652173913044,True,False
MEYMAR TRUST,6912,6912,MAYMAR TRUST,91.66666666666666,True,False
DARKAZANLI COMPANY,6913,6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,48.78048780487805,True,False
DARKAZANLI EXPORT-IMPORT SONDERPOSTEN,6913,6913,MAMOUN DARKAZANLI IMPORT-EXPORT COMPANY,79.41176470588236,True,False
ARMY OF MOHAMMED,6935,6935,MOHAMMED'S ARMY,92.85714285714286,True,False
MOHAMMED'S ARMY,6935,6935,ARMY OF MOHAMMED,92.85714285714286,True,False
TEHRIK UL-FURQAAN,6935,7149,AL-FURQAN UL KHAIRA,72.72727272727273,False,True
JAISH-E-MOHAMMED,6935,6935,JAISH-I-MOHAMMED,93.75,True,False
KHUDAMUL ISLAM,6935,6935,KHUDDAM-UL-ISLAM,93.33333333333333,True,False
KHUDDAM-UL-ISLAM,6935,6935,KHUDAMUL ISLAM,93.33333333333333,True,False
KUDDAM E ISLAMI,6935,6935,KHUDDAM-UL-ISLAM,77.41935483870968,True,False
SOCIETY OF ISLAMIC COOPERATION,6936,13146,ISLAMIC REGIONAL COOPERATION BANK,70.0,False,True
JAM'IYAT AL TA'AWUN AL ISLAMIYYA,6936,6936,JAM'YAH TA'AWUN AL-ISLAMIA,77.55102040816327,True,False
JIT,6936,,,0.0,False,False
AL-AQSA AL-ISLAMI BANK,7114,7114,AL-AQSA ISLAMIC BANK,96.96969696969697,True,False
ARAB PALESTINIAN BEIT EL-MAL COMPANY,7115,7115,"PALESTINIAN ARAB BEIT EL MAL CORPORATION, LTD.",100.0,True,False
BEIT AL MAL HOLDINGS,7115,20258,MFAA HOLDINGS LIMITED,73.33333333333334,False,True
BEIT EL MAL AL-PHALASTINI AL-ARABI AL-MUSHIMA AL-AAMA AL-MAHADUDA LTD.,7115,7115,ARAB PALESTINIAN BEIT EL-MAL COMPANY,61.111111111111114,True,False
"PALESTINIAN ARAB BEIT EL MAL CORPORATION, LTD.",7115,7115,ARAB PALESTINIAN BEIT EL-MAL COMPANY,100.0,True,False
OCCUPIED LAND FUND,7116,10412,SHAHID FUND,55.172413793103445,False,True
UMMAH TAMEER I-NAU,7132,7132,UMMAH TAMEER E-NAU,94.44444444444444,True,False
UMMAH TAMIR I-NAU,7132,7132,UMMAH TAMIR E-NAU,94.11764705882352,True,False
UMMAH TAMIR E-NAU,7132,7132,UMMAT TAMIR E-NAU,94.11764705882352,True,False
RECONSTRUCTION OF THE MUSLIM UMMAH,7132,7132,RECONSTRUCTION OF THE ISLAMIC COMMUNITY,67.79661016949152,True,False
RECONSTRUCTION OF THE ISLAMIC COMMUNITY,7132,7132,RECONSTRUCTION FOUNDATION,70.17543859649122,True,False
FOUNDATION FOR CONSTRUCTION,7132,10053,HOLY CONSTRUCTION FOUNDATION,90.19607843137256,False,True
RECONSTRUCTION FOUNDATION,7132,49477,NATWIN FOUNDATION,71.42857142857143,False,True
NATION BUILDING,7132,13115,IRAN SHIP BUILDING CO.,66.66666666666667,False,True
